RecordNo	endtime	qweek	i1_health	i2_health	i7a_health	i3_health	i4_health	i5_health_1	i5_health_2	i5_health_3	i5_health_4	i5_health_5	i5_health_99	i5a_health	i6_health	i7b_health	i8_health	i9_health	i10_health	i11_health	i12_health_1	i12_health_2	i12_health_3	i12_health_4	i12_health_5	i12_health_6	i12_health_7	i12_health_8	i12_health_9	i12_health_10	i12_health_11	i12_health_12	i12_health_13	i12_health_14	i12_health_15	i12_health_16	i12_health_17	i12_health_18	i12_health_19	i12_health_20	i13_health	i14_health_1	i14_health_2	i14_health_3	i14_health_4	i14_health_5	i14_health_6	i14_health_7	i14_health_8	i14_health_9	i14_health_10	i14_health_96	i14_health_98	i14_health_99	i14_health_other	d1_health_1	d1_health_2	d1_health_3	d1_health_4	d1_health_5	d1_health_6	d1_health_7	d1_health_8	d1_health_9	d1_health_10	d1_health_11	d1_health_12	d1_health_13	d1_health_98	d1_health_99	weight	gender	age	sta	household_size	household_children	employment_status
0	02/04/2020 15:02	week 1	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	Not sure	Not sure	Not sure	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	 	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	5	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.724390195	Female	18	North Rhine-Westphalia	3	1	Full time student
1	02/04/2020 15:02	week 1	0	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Not sure	Very difficult	Very willing	Not at all	Always	Sometimes	Always	Always	Sometimes	Always	Always	 	 	Always	Always	Always	Always	Always	Sometimes	Not at all	Not at all	Always	Always	5	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.004271481	Male	63	Bavaria	2	0	Retired
2	02/04/2020 15:02	week 1	2	0	2	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Always	Always	Rarely	Always	Always	Frequently	Always	Always	 	 	Always	Always	Always	Always	Always	Sometimes	Always	Sometimes	Frequently	Always	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	1.106206491	Male	20	North Rhine-Westphalia	3	0	Full time student
3	02/04/2020 15:02	week 1	3	0	0	"No, I have not"	Not sure	No	No	No	No	No	Yes	 	 	 	 	Not sure	Not sure	Not sure	Sometimes	Sometimes	Sometimes	Frequently	Frequently	Sometimes	Sometimes	Sometimes	 	 	Sometimes	Frequently	Sometimes	Sometimes	Sometimes	Sometimes	Frequently	Sometimes	Rarely	Sometimes	2	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.654233599	Male	25	North Rhine-Westphalia	3	0	Full time student
4	02/04/2020 15:02	week 1	2	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Always	Always	Always	Always	Always	Frequently	Always	Always	Always	 	Always	Always	Always	Always	Always	Frequently	Not at all	Always	Frequently	Always	7	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.366746827	Male	50	Baden-Wurttemberg	3	0	Full time employment
5	02/04/2020 15:02	week 1	0	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Neither easy nor difficult	Somewhat unwilling	Sometimes	Sometimes	Frequently	Frequently	Always	Sometimes	Sometimes	Always	Frequently	 	Frequently	Frequently	Frequently	Sometimes	Frequently	Sometimes	Not at all	Frequently	Frequently	Sometimes	10	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.654233599	Male	32	North Rhine-Westphalia	1	0	Full time employment
6	02/04/2020 15:03	week 1	1	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very difficult	Very willing	Not at all	Always	Not at all	Always	Always	Not at all	Always	Always	 	 	Always	Always	Always	Always	Always	Not at all	Not at all	Not at all	Rarely	Always	4	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	Yes	No	Yes	No	No	No	No	No	No	No	1.263988061	Female	71	Baden-Wurttemberg	2	0	Retired
7	02/04/2020 15:02	week 1	3	0	2	"No, I have not"	"Yes, and they have not received their results from the test yet"	No	No	No	No	No	Yes	 	 	 	 	Yes	Neither easy nor difficult	Somewhat willing	Not at all	Always	Sometimes	Not at all	Always	Not at all	Always	Always	Always	Not at all	Always	Always	Always	Always	Frequently	Sometimes	Not at all	Not at all	Frequently	Always	0	No	No	No	Yes	No	Yes	No	No	No	No	No	No	No	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.816199302	Male	43	Saxony	4	2	Full time employment
8	02/04/2020 15:03	week 1	1	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Neither easy nor difficult	Somewhat willing	Not at all	Always	Always	Always	Always	Sometimes	Always	Always	 	 	Always	Always	Always	Always	Frequently	Rarely	Frequently	Sometimes	Frequently	Always	15	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	1.099693205	Male	69	Saxony-Anhalt	2	0	Retired
9	02/04/2020 15:03	week 1	1	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Frequently	Frequently	Always	Always	Not at all	Always	Always	Not at all	 	Always	Always	Always	Always	Always	Frequently	Not at all	Not at all	Not at all	Sometimes	15	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Taxifahrer	No	No	No	No	No	Yes	No	No	Yes	No	No	No	No	No	No	0.667008973	Male	65	Schleswig-Holstein	2	0	Full time employment
