RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,m1_1,m1_2,m1_3,m1_4,m2,m3,m4_1,m4_2,m4_3,m4_4,m4_96,m4_99,m4_other,m5_1,m5_2,m6_1,m6_2,m6_3,m6_4,m6_5,m6_6,m6_7,m6_8,m6_96,m6_other,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_8,m7_9,m7_10,m7_11,m8_1,m8_2,m8_3,m8_4,m8_5,m8_6,m8_7,m8_8,m8_96,m8_99,m8_other,m9_1,m9_2,m9_3,m9_4,m9_5,m9_6,m9_7,m10,m11,m12_1,m12_2,m12_3,m12_4,m12_5,m12_6,m12_7,m12_8,m12_96,m12_99,m12_other,m13_1,m13_2,m13_3,m13_4,m13_5,m13_6,m13_8,m13_9,m13_10,m13_11,v1,v2_1,v2_2,v2_3,v2_4,v2_5,v2_99,v3,v3_open,v4_1,v4_2,v4_3,v4_4,v4_5,v4_96,v4_99,v3_other
0,09/04/2020 10:48,week 1,0,0,0, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Frequently,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Always,Always,Frequently,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.950268586,Female,20,Kuala Lumpur,Prefer not to say,0,Full time student, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,09/04/2020 10:49,week 1,0,5,1, , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Rarely, ,Rarely,Sometimes,Frequently,Always,Always,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.930940036,Male,29,Selangor,1,0,Full time employment, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,09/04/2020 10:51,week 1,4,3,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Rarely,Rarely,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.928043429,Male,56,Perak,5,1,Full time employment, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,09/04/2020 10:55,week 1,8,5,1,No,Frequently,No,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,9, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,Yes,No,No,0.934468696,Male,19,Kuala Lumpur,4,0,Full time student, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,09/04/2020 10:57,week 1,6,0,2, , , ,Yes,Neither easy nor difficult,Somewhat willing,Frequently,Frequently,Always,Frequently,Not at all,Always,Always,Not at all,Always,Always,Not at all,Always,Always,Always,Frequently,Sometimes,Rarely,Rarely,Frequently,Always,15,No,No,No,No,No,No,No,No,No,No,Yes,No,No,hantar isteri kerja,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.936243358,Male,37,Selangor,7,4,Part time employment, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,09/04/2020 11:01,week 1,2,2,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Always,10, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.933087329,Female,29,Johor,3,1,Not working, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,09/04/2020 11:15,week 1,5,2,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Sometimes,Always,Always,Always,Always,Sometimes,Always,Rarely,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.917573108,Male,32,Johor,5,0,Part time employment, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,09/04/2020 11:17,week 1,2,3,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Not at all,Always,Not at all,Always,Frequently,Always,Always,Always,Always,Always,Not at all,Rarely,Rarely,Sometimes,Always,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.910199663,Male,53,Selangor,3,1,Full time employment, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,09/04/2020 11:18,week 1,2,2,0, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Not at all,Sometimes,Not at all,Not at all,Not at all, ,Not at all,Always,Always,Always,Always,Sometimes,Rarely,Not at all,Sometimes,Not at all,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.273691705,Female,30,Negeri Sembilan,2,0,Full time employment, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,09/04/2020 11:21,week 1,2,0,1, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Sometimes,Sometimes,Sometimes,Always,Not at all,10,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.910199663,Male,51,Selangor,3,1,Full time employment, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
